subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
UPoCAyy1QPj1inTTsGtR8BMUg,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,7/18/2019,10:26,right,1,1997.104,1,30/06/15,English,,,female,Pre,DO,NonPred
UPoCAyy1QPj1inTTsGtR8BMUg,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,7/18/2019,10:26,left,1,3467.104,1,30/06/15,English,,,female,Pre,DO,NonPred
UPoCAyy1QPj1inTTsGtR8BMUg,3,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,left,right,pretest_filler,7/18/2019,10:26,left,1,3688.104,1,30/06/15,English,,,female,Pre,DO,NonPred
UPoCAyy1QPj1inTTsGtR8BMUg,4,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,right,left,pretest,7/18/2019,10:26,left,0,6454.104,1,30/06/15,English,,,female,Pre,DO,NonPred
UPoCAyy1QPj1inTTsGtR8BMUg,5,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,right,left,pretest,7/18/2019,10:26,left,0,327.104,1,30/06/15,English,,,female,Pre,DO,NonPred
UPoCAyy1QPj1inTTsGtR8BMUg,6,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,left,right,pretest,7/18/2019,10:26,left,1,3838.104,2,30/06/15,English,,,female,Pre,DO,NonPred
UPoCAyy1QPj1inTTsGtR8BMUg,7,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,left,right,pretest_filler,7/18/2019,10:26,right,0,3666.104,1,30/06/15,English,,,female,Pre,DO,NonPred
UPoCAyy1QPj1inTTsGtR8BMUg,8,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,left,right,pretest,7/18/2019,10:26,right,0,1604.104,1,30/06/15,English,,,female,Pre,DO,NonPred
UPoCAyy1QPj1inTTsGtR8BMUg,9,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,right,left,pretest,7/18/2019,10:26,left,0,1047.104,1,30/06/15,English,,,female,Pre,DO,NonPred
UPoCAyy1QPj1inTTsGtR8BMUg,10,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,right,left,pretest,7/18/2019,10:26,right,1,1629.104,1,30/06/15,English,,,female,Pre,DO,NonPred
